,date,actions,transactions
0,2019-01-03,"[-0.9096009  -0.05281956 -0.2882638  -0.15178177 -0.5094844  -1.
 -1.         -0.26486775 -1.          0.3275011  -0.89350224 -0.15685557
 -0.6206733  -1.         -0.3397421  -0.42796493  0.5207967   1.
  1.          0.55119234  1.          0.41834366  0.989526   -0.90300846
  1.         -1.          0.9738647  -1.         -0.8912077  -0.0414234
  0.9777975  -0.58412147  0.8527851   0.8387851  -1.         -0.7702212
  1.          0.5313325   0.43856826 -0.6482103   0.368393    0.639946
 -0.18174964  0.48096552 -0.1530885  -0.08129416 -0.30692258 -1.
  0.25116435  0.11733665]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.           71.75653076
    0.            0.            0.            0.            0.
    0.           97.76107788  393.12194824  385.83224487  253.20523071
  239.11546326  246.44692993  231.52763367    0.          360.73995972
    0.          310.38522339    0.            0.            0.
  329.75546265    0.         1333.6854248    79.98088837    0.
    0.         1056.50170898  103.65076447  112.67412567    0.
  116.89300537    0.            0.          357.96780396    0.
    0.            0.            0.           43.47720718   13.80268764]"
1,2019-01-04,"[ 1.          0.83028257  0.79891485  1.         -0.5766869   0.5911095
 -0.740712    0.8491861   1.         -0.29630825  0.01719576 -0.54714954
 -1.          1.          0.6010583  -0.8240201   1.         -0.4474924
  0.5533024  -1.         -1.         -0.5815755  -0.93780416 -0.09262514
  0.12510209  0.73946863  0.9711207  -0.70016974 -1.         -1.
  0.19867198 -0.71993786  0.04686074  0.04864579  0.39344373  1.
  0.731627   -1.         -0.26134562 -0.46007183  1.         -1.
 -1.         -0.42507204  1.         -0.69595414  0.46728647 -1.
  0.44079447 -0.5394901 ]","[ 554.16400146   85.02446747  790.44128418 1134.53295898    0.
  387.17611694    0.          392.21566772  990.80529785  -66.12724304
    4.17638302    0.            0.            8.70018864  190.2829895
    0.          191.63769531 -171.43725586  214.75128174 -253.20523071
 -239.11546326 -246.44692993 -221.19692993    0.           44.84524536
  408.15835571  310.90985107    0.            0.            0.
   65.30450439    0.           72.87374878    4.59687567  375.1942749
  124.94564819  772.96520996 -103.65076447  -66.44369507    0.
  310.79064941    0.            0.         -314.1746521    88.64556885
    0.           64.52753448    0.           77.72315979  -13.80268764]"
2,2019-01-07,"[-0.8275022  -0.61372983 -0.5537197  -0.08710755 -1.         -1.
 -0.2726847   0.2924462   0.6267249   1.          1.         -0.49788326
  0.67403626  0.38440722  1.         -1.         -0.17798066  0.312729
  0.23889257  1.         -1.          0.8464873   0.0191986  -1.
  0.29170683  1.         -1.         -1.         -1.          0.57421
 -0.06209353 -0.5529006   1.         -0.5154752   0.29460338 -0.48664215
 -0.76161283 -1.         -1.         -0.6817424   0.46592754  0.51979405
  0.5323246  -1.         -0.9118551   1.         -0.29614213 -0.93028456
 -0.85348934  0.4641345 ]","[-451.66372681  -62.69714737 -537.41455078  -97.66295624    0.
 -387.17611694    0.          131.42822266  615.00292969  223.44171143
  234.17120361    0.          128.29450989    3.2777493   317.08987427
    0.          -33.90366364  114.0472641    91.76528931  457.73294067
    0.          456.46026611    4.48406172    0.          101.88710022
  501.83169556 -313.42263794    0.            0.          270.84866333
  -19.22995949    0.         1533.41308594  -47.92755127  268.0112915
  -58.31178284 -793.95874023    0.          -46.2304306     0.
  135.55596924    0.          764.41687012  -43.79315186  -80.66201782
   69.44203186  -40.34777069    0.         -121.20036697   53.76158524]"
3,2019-01-08,"[-1.         -1.         -1.          0.95166546 -0.44476438 -0.7445115
  0.51440483 -0.04128792 -1.         -0.08064815  0.8726754  -0.197871
  1.          1.         -1.         -0.7740165  -1.         -1.
 -0.30392596 -0.16875595  0.16737062  1.          1.          0.8743143
 -0.53273046  0.59257275 -0.46363354 -0.6142616   0.35779792 -0.83357525
  1.         -0.5556881  -0.04561074  0.12793566 -0.677039    1.
  1.          0.8551832  -1.         -0.74395156  0.20095177 -0.15368028
  1.          1.          1.         -0.46094874 -0.5186301   0.03104749
  0.52076596 -1.        ]","[-102.50027466  -22.3273201  -253.0267334  1050.49609375    0.
    0.          106.6884613   -18.66205025 -968.26043701  -18.13002586
  204.54319763    0.          188.35157776    8.47761536 -318.52612305
    0.         -186.4203949  -335.73195648 -118.2250824   -75.62037659
   39.88756561  537.5534668   230.99809265    0.         -181.12445068
  295.04425049 -145.47465515    0.          128.11808777 -270.84866333
  309.14004517    0.          -70.33267975   11.95640373 -625.89117432
  128.4617157  1048.43786621  161.17955017    0.            0.
   58.49749756    0.         1435.99755859  728.00335693   86.93671417
  -31.38160706  -24.17976379    2.86390591   85.2652359   -53.76158524]"
4,2019-01-09,"[ 0.85538155 -0.08060781 -1.         -0.05200608 -0.00205898 -1.
  0.20962745  0.7479596   0.05517446 -1.          0.00593104 -1.
  1.          0.30765706 -0.803186    1.          1.         -0.47132832
 -0.11913984 -1.          1.          1.          0.2439215   1.
 -0.5764488  -0.14071083 -1.          0.5858562   0.2135232  -0.6136945
  0.3657992   1.         -1.         -0.5730586   1.         -0.84779954
  0.36131802 -0.3118356   0.18376794  1.          0.4851736   0.5556677
 -0.80427665  1.          0.5297588   1.         -0.35785958 -1.
 -0.73623383 -0.13317335]","[ 4.66880737e+02  0.00000000e+00  0.00000000e+00 -5.67504196e+01
  0.00000000e+00  0.00000000e+00  4.39942741e+01  3.42867981e+02
  5.36267891e+01 -2.10940973e+02  1.37311029e+00  0.00000000e+00
  1.88089432e+02  2.61121726e+00 -1.88846741e+02  1.54909546e+02
  1.86228058e+02  0.00000000e+00 -4.69039688e+01 -3.82112564e+02
  2.43656403e+02  5.40371155e+02  5.67692337e+01  0.00000000e+00
 -1.95246201e+02 -6.71657104e+01 -1.62397781e+02  2.55968765e+02
  7.61560135e+01  0.00000000e+00  1.13150337e+02  0.00000000e+00
 -1.55947852e+03 -4.86066165e+01  9.43111511e+02 -1.12177216e+02
  3.81733093e+02 -5.96988220e+01  4.71180534e+01  9.33462769e+02
  1.40678162e+02  0.00000000e+00 -1.16097449e+03  7.27008362e+02
  4.48963356e+01  6.74873123e+01  0.00000000e+00 -2.86390591e+00
 -8.52652359e+01  0.00000000e+00]"
5,2019-01-10,"[-0.8998099   1.          1.         -0.7985457  -0.40332583  0.14557482
 -0.79785794 -1.          1.          1.         -0.26584154  0.4689904
  1.         -1.          1.         -0.46804425 -0.44685107  0.50193834
 -0.17557514  0.71518815  1.         -0.06893762  0.83091843  1.
  0.29292098 -0.13701963 -0.55798423 -1.         -0.48557284  1.
  0.40510386  0.26266834  0.45925406  0.33353648  0.66869324  0.12211569
 -0.46793294  0.72744465  0.5641097  -0.5579325   0.99905246  1.
  1.         -1.         -1.          0.11088503 -1.          1.
  0.11850927  0.28078127]","[-466.8807373   100.40422821  973.91845703 -853.47540283    0.
   93.23471832 -150.68273544 -452.7427063   964.59918213  219.45127869
  -60.82746124   61.13874054  176.0433197    -8.33135033  333.75610352
  -73.11592102  -82.81706238  178.49107361  -65.46816254  311.20574951
  236.07064819  -36.75144196  191.68818665    0.           96.45076752
  -62.47076416    0.         -255.96876526 -171.72007751  475.55187988
  125.15953064    0.          712.1763916    30.81532669  628.35302734
   16.05577087 -488.73345947  136.57443237  142.2184906  -521.71508789
  286.45187378    0.         1424.86682129 -727.00836182  -82.93964386
    7.48934746    0.           90.39009094   19.78432083   31.79567719]"
6,2019-01-11,"[ 0.7720662  -0.8464677   0.96248204 -0.9509599   0.09405272  0.6722574
 -0.47187412 -0.29354638  0.17530118  1.          0.35825583  0.6897954
 -0.8675633  -1.          0.52206707  1.          0.34087896 -0.3741849
  0.02237651 -0.35079807  1.         -0.5247514  -0.3401923   1.
  1.          1.         -0.97500795 -0.6804558   0.5376341  -0.0455604
 -1.          0.188592   -1.          0.900997    0.6515989  -0.6449635
  0.7070405  -1.          1.          1.          0.65823734 -0.38953933
 -0.44162428  1.         -1.         -0.20274933  1.          0.13964234
 -0.6855315   0.07589775]","[  421.40588379   -86.50789642   940.65875244 -1025.95739746
    28.87869835   434.30288696     0.          -134.45077515
   170.38391113   222.63186646    81.53370667    88.7408905
  -153.77856445    -8.29566956   168.58384705   155.10705566
    62.87516403  -130.14584351     8.36761665  -153.95603943
   243.06416321  -285.05157471   -77.46114349     0.
   299.38146973   470.70343018     0.             0.
   190.50311279   -22.17072678  -312.48828125     0.
 -1568.38146973    82.44651794   623.69476318   -85.73131561
   744.12780762  -191.03291321   252.48316956   940.02630615
   193.25363159     0.          -634.17138672   725.0369873
   -56.87695694   -13.71978474   136.71549988    12.83843231
   -19.78432083     8.73528576]"
7,2019-01-14,"[ 0.03181827  0.10043101  0.35473657  0.7376738   0.51107526  0.00299131
  0.22243801  0.6676825   0.24622929  0.20603094  0.5726652   0.54040843
  1.         -0.8053171  -0.33184266 -1.          1.          0.34601897
  0.61732596 -0.7559083  -0.01431096 -0.34883967  0.8722253  -1.
  0.8751872  -0.26058897  0.06514113  0.9176086  -1.         -0.06697732
 -0.7376101  -0.48236433  0.41599238  0.18333203 -1.         -0.9363034
 -1.          0.22103676  1.          0.25561562  0.7789019  -0.07668166
 -0.18474947 -0.5706885   0.15159933 -1.          0.15916221  0.12889789
  0.17596626  0.72123545]","[   17.21134377    10.41024971   344.88659668   788.4163208
   155.35240173     1.89709735    44.49507904   306.06860352
   234.4103241     45.26759338   131.7416687     69.92012787
   175.18902588    -6.43975067  -107.26261902  -152.19866943
   182.33668518   122.89263916   229.04304504  -157.24971008
    -3.49887466  -188.30548096   195.14004517     0.
   273.65164185  -123.34521484    19.93144035   386.42007446
  -223.05713654   -32.47164917  -229.80226135     0.
   648.73120117    16.61130905  -937.96313477   -13.24282074
 -1048.43786621    42.3768425    250.6315918    239.86602783
   225.59078979     0.          -263.24337769  -412.08514404
    12.61916542   -67.66870117    21.74792671    11.70294666
    29.56313133    82.85986328]"
8,2019-01-15,"[ 1.         -1.          1.         -0.9577783   0.5298962   0.17695065
 -0.2690043  -1.         -1.          0.8093292  -1.          1.
  1.          0.75585866 -1.          1.         -0.32414463 -0.26123214
 -1.         -0.4130422  -0.6736329   0.36902264 -0.1117604   0.30020696
  0.05610573  0.01357148  0.16914225  1.         -0.08650768 -0.26866442
 -0.9419069   0.03305456  1.         -0.5026968  -0.01589761  0.3702643
 -1.         -0.6444797  -0.33341482 -0.13912502  1.          0.5051325
 -0.98162556 -1.         -1.         -1.         -1.          1.
  0.9183006   0.36665508]","[  540.38867188   -24.3065815    979.0291748   -939.59919739
   160.78898621   109.6783371    -44.49507904  -466.97549438
  -953.77984619   179.96531677  -238.22001648   133.24201965
   173.95115662     6.21182632  -324.51306152   153.70852661
   -59.10345459   -92.3205719   -374.21508789     0.
  -169.58428955   198.57649231   -25.34881783     0.
    17.28425598     6.32372952    51.44729614   423.55291748
     0.          -131.71891785  -296.65426636     0.
  1572.87109375   -46.30572891   -15.13222599    49.15438843
 -1056.50170898   -89.39908981   -84.72454834  -131.47576904
   287.84597778     0.         -1402.32226562  -729.00109863
   -12.61916542   -31.64859867  -138.22502136    91.44345093
   163.70219421    44.10442352]"
9,2019-01-16,"[-0.26039484  0.4844584  -0.52570385 -0.7013762  -1.         -0.51164466
 -1.         -1.          1.          0.05666726  0.44095623 -0.6799833
  0.88727     0.3184468   1.         -0.7601805  -0.31022835  0.70988065
 -1.          1.          1.         -0.5425798  -0.71346813 -0.20650508
 -1.         -0.12367535  1.         -1.          1.         -1.
  0.8974205   0.2857782  -1.          1.          1.          0.19705333
 -0.73020834  0.527738   -0.25719574  1.         -0.35499513  0.0804346
  1.          1.          0.7384255  -0.06875169 -0.50100124 -1.
  0.23388454 -0.02218997]","[ -140.01982117    50.9746933   -509.34375        0.
  -293.09011841  -315.25015259     0.           -99.74944878
   943.20043945    12.46541023   100.48956299   -87.2151413
   150.05158997     2.47677636   323.76498413  -111.9598465
   -55.31691742   245.31259155  -324.94717598   440.76553345
   253.27355957  -283.97509766  -155.71446228     0.
  -291.17337036   -52.39282227   303.35018921  -417.34484863
   352.04077148  -289.19058609   278.42358398     0.
 -1559.47851562    89.80352783   927.79870605    25.75247955
  -616.13391113    99.21975708   -64.39842987   930.19793701
   -99.08039093     0.          1413.90722656   726.02661133
    61.3655777      0.           -20.23840523   -85.86299896
    40.22256088    -2.5972507 ]"
