,date,actions,transactions
0,2019-01-03,"[-1.  1. -1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1. -1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1.]","[  0.         101.0221405    0.           0.           0.
 645.23620605   0.           0.           0.         219.10316467
   0.           0.         190.40438843   0.         322.70349121
   0.           0.           0.           0.         459.3772583
 239.11546326 589.10162354 233.97833252   0.           0.
   0.         318.7149353  441.80929565   0.         487.98577881
 337.24310303   0.           0.          95.3532486    0.
   0.           0.           0.         256.9135437    0.
 317.30517578   0.           0.           0.           0.
  69.01368713   0.           0.         173.10261536   0.        ]"
1,2019-01-04,"[-1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1. -1.  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1.]","[  0.         102.40424347 989.39367676   0.           0.
 654.9989624    0.           0.           0.         223.17045593
   0.           0.         196.55555725   0.         316.57992554
 166.82571411   0.           0.           0.         466.50494385
 260.52520752 577.24053955 235.86685181   0.           0.
   0.         320.1557312  444.87942505   0.         485.71984863
 328.70516968   0.           0.          94.49687958   0.
   0.           0.           0.         254.23686218   0.
 310.79064941   0.           0.           0.          88.64556885
  69.5187912    0.           0.         176.32516479   0.        ]"
2,2019-01-07,"[-1.  1.  1. -1. -1. -1. -1.  1. -1.  1. -1. -1.  1. -1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1.  1. -1.
 -1. -1.  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1.]","[   0.          102.15756989  970.55340576    0.            0.
 -643.63317871    0.          449.40991211    0.          223.44171143
    0.            0.          190.33769226    0.          317.08987427
  159.81895447    0.            0.            0.          457.73294067
  243.18238831  539.24053955  233.56192017    0.            0.
    0.          313.42263794  439.91238403    0.          471.68920898
  309.69338989    0.            0.           92.97741699  909.73602295
    0.            0.            0.          250.14257812    0.
  290.93786621    0.            0.            0.           88.4592514
   69.44203186    0.            0.          171.15492249    0.        ]"
3,2019-01-08,"[-1. -1.  1. -1. -1. -1. -1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1. -1.
 -1.  1.  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1.  1.  1. -1.
 -1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1.]","[   0.         -102.23966217  973.91845703    0.            0.
 -638.09692383    0.          451.99783325    0.          224.80397034
    0.            0.          188.35157776    0.         -318.52612305
  154.18107605    0.            0.            0.          448.10494995
  238.31880188 -537.5534668   230.99809265    0.            0.
    0.          313.77078247  436.54016113    0.         -467.88879395
  309.14004517    0.            0.           93.45637512  924.45367432
    0.            0.            0.          253.35697937    0.
  291.10217285    0.            0.            0.          -86.93671417
   68.08047485    0.            0.          163.73043823    0.        ]"
4,2019-01-09,"[-1.  1.  1. -1. -1. -1. -1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1.  1.  1. -1.
 -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.]","[   0.          102.11667633  975.62878418    0.            0.
  -18.50506592    0.          458.40438843    0.          227.57891846
    0.            0.          188.08943176    0.         -337.18624878
  154.9095459     0.            0.            0.          449.6807251
  243.65640259  540.37115479  232.735672      0.            0.
    0.          307.46713257  436.91400146    0.         -467.88879395
  309.32363892    0.            0.           94.29372406  943.11151123
    0.            0.            0.          256.39974976    0.
 -289.95425415    0.            0.            0.          -84.74863434
   67.48731232    0.            0.          167.44416809    0.        ]"
5,2019-01-10,"[-1.  1.  1. -1. -1. -1. -1.  1. -1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1. -1.  1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1. -1.]","[   0.          100.40422821  973.91845703    0.            0.
    0.            0.          452.7427063     0.          219.45127869
    0.          130.36245728  176.0433197     0.         -300.66091919
  156.21582031    0.            0.            0.          435.13827515
  236.07064819  533.11157227  230.6943512     0.            0.
    0.          306.6355896   422.85443115    0.          475.55187988
  308.95666504    0.            0.           92.38967896 -939.67297363
    0.            0.            0.          252.11143494    0.
 -286.72354126    0.            0.            0.           82.93964386
   67.54155731    0.            0.          166.9432373     0.        ]"
6,2019-01-11,"[ 1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1.  1. -1. -1.
 -1.  1.  1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1.  1. -1.  1. -1. -1.
 -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.]","[ 545.8157959  -102.19869995  977.3260498     0.            0.
  646.03656006    0.         -458.02224731    0.          222.63186646
    0.          128.64813232  177.25341797    8.29566956    0.
  155.10705566    0.            0.            0.          438.87368774
  243.06416321 -543.21258545  227.69810486    0.            0.
    0.          306.80117798  426.01776123  354.33599854  486.6227417
 -312.48828125    0.            0.           91.50587463 -957.17596436
    0.            0.            0.          252.48316956    0.
 -293.59262085    0.            0.            0.          -84.04364014
   67.66870117    0.            0.          169.65139771    0.        ]"
7,2019-01-14,"[ 1. -1.  1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.]","[ 540.92651367 -103.6557312   972.23303223    0.            0.
  634.20385742  200.03359985 -458.40438843    0.          219.71261597
    0.          129.3838501   175.18902588   -8.0724535     0.
  152.19866943    0.            0.            0.          439.63000488
  244.48921204  539.80523682  223.72665405    0.            0.
    0.          305.97320557  421.11645508 -352.72622681  484.81558228
  311.54977417    0.            0.           90.60778046 -880.45227051
    0.            0.            0.          250.6315918     0.
 -289.6267395     0.            0.            0.           -4.31547546
   67.66870117    0.            0.          168.00454712    0.        ]"
8,2019-01-15,"[ 1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1.  1.  1. -1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.]","[ 5.40388672e+02  1.06296814e+02  9.79029175e+02  0.00000000e+00
  0.00000000e+00  6.19824463e+02 -2.00033600e+02 -4.66975494e+02
  0.00000000e+00  2.22363541e+02  0.00000000e+00  1.33242020e+02
  1.73951157e+02 -2.23216057e-01  0.00000000e+00  1.53708527e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.50872894e+02
  2.51745865e+02 -5.38114685e+02  2.26813950e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.04165863e+02  4.23552917e+02
 -1.60977173e+00  4.90272980e+02  3.14950714e+02  0.00000000e+00
  0.00000000e+00  9.21146164e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.54111526e+02  0.00000000e+00
 -5.02387085e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.80068588e+01  0.00000000e+00  0.00000000e+00
  1.78266464e+02  0.00000000e+00]"
9,2019-01-16,"[ 1. -1. -1. -1. -1.  1. -1. -1.  1.  1. -1.  1.  1.  1. -1.  1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1. -1. -1.  1. -1. -1.
 -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.]","[ 537.72113037 -105.21996307 -968.87957764    0.            0.
  616.1505127     0.         -429.15270996  943.20043945  219.97554016
    0.          128.26071167  169.11602783    7.77767801    0.
  147.28060913    0.            0.            0.          440.76553345
  253.27355957  523.3793335   218.25007629    0.            0.
    0.          303.35018921  417.34484863  352.04077148  481.24584961
  310.24874878    0.            0.           89.80352783    0.
    0.            0.            0.          250.38684082    0.
    0.            0.            0.            0.            0.
   67.66870117    0.            0.          171.97615051    0.        ]"
