,cash,asset_value,total_assets,reward,date
0,1000000.0,0.0,1000000.0,0.0,2019-01-03
1,859579.9993441467,140434.17185289972,1000014.1711970464,1.4171197046497497e-05,2019-01-04
2,719159.9991070275,288010.3623997917,1007170.3615068193,0.007170361506819267,2019-01-07
3,598739.9998015449,408928.7352323703,1007668.7350339153,0.007668735033915297,2019-01-08
4,478289.99912485445,526589.5789644537,1004879.5780893081,0.0021116476696813047,2019-01-09
5,347835.7326425376,665673.0390335346,1013508.7716760722,0.013508771676072229,2019-01-10
6,217385.73176867084,795546.0736641593,1012931.8054328301,0.012362529409409073,2019-01-11
7,147471.5667660799,867457.3939515236,1014928.9607176034,0.014928960717603523,2019-01-14
8,36681.18851292407,971180.4865514255,1007861.6750643495,0.0008983446966193132,2019-01-15
9,61681.18853987672,966008.4915731626,1027689.6801130393,0.027689680113039294,2019-01-16
10,71690.3461578592,951875.7732475162,1023566.1194053754,0.019553662350040968,2019-01-17
11,79352.22686701104,937838.3815396142,1017190.6084066252,0.00697441969753998,2019-01-18
12,99352.22665322777,932426.540128629,1031778.7667818568,0.03177876678185676,2019-01-21
13,99352.22665322777,940036.9362158711,1039389.162869099,0.03938916286909899,2019-01-22
14,109277.5194231549,920408.831867867,1029686.3512910219,0.020351241858772573,2019-01-23
15,119277.51954328753,908425.3871842782,1027702.9067275658,0.01645951824612857,2019-01-24
16,119277.51954328753,910748.2311850106,1030025.7507282982,0.02101717869840103,2019-01-25
17,4002.572721312232,1036895.5891165691,1040898.1618378814,0.04089816183788142,2019-01-28
18,26879.973508843228,1015260.4769280106,1042140.4504368538,0.04214045043685388,2019-01-29
19,42027.18407441329,1004926.6500018074,1046953.8340762206,0.04695383407622056,2019-01-30
20,42027.18407441329,998797.3134991729,1040824.4975735862,0.03497004983851215,2019-01-31
21,47027.18423524093,1001742.0057332321,1048769.189968473,0.048769189968473015,2019-02-01
22,52027.18430787124,1010199.8727670151,1062227.0570748863,0.06222705707488618,2019-02-11
23,52027.18430787124,1024073.7336334458,1076100.917941317,0.07610091794131701,2019-02-12
24,52027.18430787124,1029294.5846214287,1081321.7689293,0.08132176892929999,2019-02-13
25,52027.18430787124,1054679.1881475905,1106706.3724554616,0.10670637245546155,2019-02-14
26,57027.18436861648,1049006.649640013,1106033.8340086294,0.1054261403478981,2019-02-15
27,62027.18410181961,1023090.6736782775,1085117.857780097,0.0656108636824071,2019-02-18
28,68639.44946848678,1048269.287634523,1116908.7371030098,0.11690873710300975,2019-02-19
29,68639.44946848678,1052927.7785518463,1121567.228020333,0.12156722802033304,2019-02-20
30,73639.44949149704,1055939.190694001,1129578.6401854982,0.12957864018549814,2019-02-21
31,73639.44949149704,1055297.7922960434,1128937.2417875405,0.1283694208540176,2019-02-22
32,75287.57328449021,1083170.0756335862,1158457.6489180764,0.15845764891807645,2019-02-25
33,85287.57330261308,1138377.435267753,1223665.008570366,0.22366500857036598,2019-02-26
