,cash,asset_value,total_assets,reward,date
0,1000000.0,0.0,1000000.0,0.0,2019-01-03
1,931603.6618142853,68060.06265027267,999663.724464558,-0.0006725510708840421,2019-01-04
2,873830.1622012255,128621.46971220878,1002451.6319134342,0.002451631913434227,2019-01-07
3,847669.3542951697,155066.7936665443,1002736.1479617141,0.002736147961714064,2019-01-08
4,814483.565357882,187785.93198395736,1002269.4973418394,0.0018041200630574128,2019-01-09
5,782262.3335240181,223563.45131626882,1005825.784840287,0.005825784840286952,2019-01-10
6,743456.0636629631,259947.38153856952,1003403.4452015327,0.0009951358548608846,2019-01-11
7,710017.4682665666,294468.80168617616,1004486.2699527428,0.0031545135912206534,2019-01-14
8,681302.6328953074,320571.28857494856,1001873.9214702559,-0.0020550525425335753,2019-01-15
9,687910.4377315905,322896.07023883413,1010806.5079704246,0.010806507970424706,2019-01-16
10,667625.9873387944,342742.1746150203,1010368.1619538147,0.009934502283884372,2019-01-17
11,663651.3410911489,344202.9427391154,1007854.2838302644,0.004933621847104108,2019-01-18
12,648385.4067428457,364939.73724242864,1013325.1439852742,0.01332514398527418,2019-01-21
13,598788.0283286102,418199.1501495184,1016987.1784781286,0.016987178478128584,2019-01-22
14,566198.039061095,442128.8420192419,1008326.8810803369,-0.00018875960920594625,2019-01-23
15,566234.5511462691,441411.26963805815,1007645.8207843272,-0.0015395041553443178,2019-01-24
16,569519.1530841201,441414.4241291953,1010933.5772133154,0.004981091879260324,2019-01-25
17,557754.419766512,458738.7470948382,1016493.1668613502,0.016007406935135804,2019-01-28
18,574070.95260208,442757.26097861596,1016828.2135806959,0.016671903942976907,2019-01-29
19,546209.1812777676,474076.6042236724,1020285.78550144,0.02028578550144,2019-01-30
20,528040.9140077932,487134.79110181064,1015175.7051096038,0.01016722565761885,2019-01-31
21,524612.2664011949,497212.24861188093,1021824.5150130758,0.021824515013075807,2019-02-01
22,539399.6113020526,490772.34529009834,1030171.956592151,0.030171956592150995,2019-02-11
23,538254.598232105,499479.0538779043,1037733.6521100093,0.03773365211000934,2019-02-12
24,503312.7360461867,536338.7120436089,1039651.4480897957,0.03965144808979559,2019-02-13
25,458910.17467531434,596102.0159669126,1055012.190642227,0.055012190642226955,2019-02-14
26,438651.63602300204,617078.3049512861,1055729.9409742882,0.055729940974288183,2019-02-15
27,411065.2960388626,630438.9379465986,1041504.2339854613,0.02802947454489957,2019-02-18
28,346345.4184645887,718191.0717994599,1064536.4902640486,0.06453649026404862,2019-02-19
29,301758.2437802159,761710.3132520602,1063468.5570322762,0.06246536621492105,2019-02-20
30,299869.87975058943,764252.2253242027,1064122.1050747922,0.06373284158495762,2019-02-21
31,325091.64977466303,740881.3492851438,1065972.9990598068,0.0659729990598068,2019-02-22
32,327139.356468577,761897.1328220165,1089036.4892905934,0.08903648929059349,2019-02-25
33,341524.21308284486,799457.3829013398,1140981.5959841846,0.1409815959841847,2019-02-26
34,330196.2625457377,804518.6929841326,1134714.9555298702,0.12922263166034376,2019-02-27
35,355834.4906196859,784712.0674762151,1140546.558095901,0.14016527421734004,2019-02-28
36,376319.6589473778,755404.9409019356,1131724.5998493135,0.12361141365292594,2019-03-01
37,350489.15657804307,804074.5390334453,1154563.6956114883,0.15456369561148842,2019-03-04
38,343339.5280565193,821065.6775595371,1164405.2056160565,0.16440520561605654,2019-03-05
39,337408.0856466155,837132.1367981927,1174540.222444808,0.17454022244480805,2019-03-06
40,339562.42804626434,848870.8627729665,1188433.290819231,0.188433290819231,2019-03-07
41,325155.0295525062,860356.2442045946,1185511.2737571008,0.1830525601846158,2019-03-08
42,327059.4468070966,822715.8322345609,1149775.2790416575,0.11724672899496114,2019-03-11
43,291616.3559913514,864454.4900519563,1156070.8460433078,0.12883966274852265,2019-03-12
44,299938.9951001142,866376.8453138099,1166315.840413924,0.1477052456281952,2019-03-13
45,247313.2457619927,904543.7119458742,1151856.9577078668,0.12108002357624992,2019-03-14
46,260027.8229700025,879480.6529143313,1139508.4758843337,0.09834098645699563,2019-03-15
47,263775.33268435416,884588.254470122,1148363.5871544762,0.1146471775130623,2019-03-18
48,228076.51777991405,943207.1404535942,1171283.6582335082,0.15685320368615974,2019-03-19
49,272248.6751873743,894732.6200988648,1166981.2952862391,0.14893064347539642,2019-03-20
50,219050.61113578957,943610.8983340833,1162661.5094698728,0.14097600002777988,2019-03-21
51,205152.13924010991,961144.2885960866,1166296.4278361965,0.14766949845442634,2019-03-22
52,240449.35043437334,923793.7688907736,1164243.119325147,0.14388844592365657,2019-03-25
53,258969.2079879737,887786.5239274441,1146755.7319154178,0.11168640221405668,2019-03-26
54,243832.32079364327,895497.9191608011,1139330.2399544443,0.09801277498260885,2019-03-27
55,262456.1885842829,881926.6088506622,1144382.7974349451,0.10731677637631243,2019-03-28
56,224929.04040821845,908414.0008255625,1133343.041233781,0.0869876841337841,2019-03-29
57,219150.28815285055,946842.1367039196,1165992.42485677,0.14710969400782903,2019-04-01
58,215187.34387055069,977747.7681619044,1192935.1120324552,0.19293511203245517,2019-04-02
59,215681.92364733195,979855.3794931697,1195537.3031405017,0.19553730314050166,2019-04-03
60,224801.79188183765,933402.2543718904,1158204.0462537282,0.1269768676548635,2019-04-04
61,221068.34591519993,992857.7845464286,1213926.1304616285,0.21392613046162845,2019-04-08
62,195564.9313684424,1009210.8263571936,1204775.757725636,0.19723792448654676,2019-04-09
63,191225.97174568457,1009732.2209784654,1200958.19272415,0.1902755511596692,2019-04-10
64,182610.299526834,1014782.1427484723,1197392.4422753062,0.18377243050405045,2019-04-11
65,165003.6844354622,1007558.1375307768,1172561.821966239,0.1384870068210542,2019-04-12
66,144065.8278638831,1029897.3697549225,1173963.1976188056,0.1410427983951511,2019-04-15
67,82470.10476397444,1091780.6708267787,1174250.7755907532,0.14156727543758674,2019-04-16
68,83982.49557956224,1126866.1527224784,1210848.6483020405,0.20831350050155795,2019-04-17
69,64312.99148953717,1142607.3534872052,1206920.3449767423,0.20114916557044504,2019-04-18
70,59544.46407138206,1143330.7514890446,1202875.2155604267,0.1937717663274825,2019-04-19
71,65422.298611192426,1142959.1324932906,1208381.431104483,0.20381385551811948,2019-04-22
72,46196.40473737996,1148176.7660531935,1194373.1707905733,0.17826596362169922,2019-04-23
73,51491.64488820829,1145372.6152127685,1196864.2601009768,0.1828091459284502,2019-04-24
74,56948.11590950366,1143940.7303730114,1200888.8462825152,0.190149078967221,2019-04-25
75,34139.6107851809,1146939.790165037,1181079.4009502179,0.15402114041263493,2019-04-26
76,75116.24668578018,1101039.0140580644,1176155.2607438446,0.1450406247128856,2019-04-29
77,50940.65531463177,1106281.0201066295,1157221.6754212612,0.11051005630585098,2019-04-30
78,85359.33420956231,1065375.3892884343,1150734.7234979966,0.09867932623951448,2019-05-06
79,128913.17146845881,919016.5124435899,1047929.6839120487,-0.08881376561436949,2019-05-07
80,131696.329047276,965437.6509672649,1097133.980014541,0.0009237185197380482,2019-05-08
81,115604.2250394386,970480.4922570942,1086084.7172965328,-0.019227632406723427,2019-05-09
82,97578.61511147456,974949.7732365772,1072528.3883480518,-0.0439513039210373,2019-05-10
