,date,actions,transactions
10,2019-01-17,"[0.14413369 0.98445266 0.90445405 0.83928645 0.6118184  0.02303414
 0.4833558  0.08117024 0.04121092 0.8023835  0.58117676 0.6701358
 0.04745944 0.35266486 0.43713656 0.91773915 0.9544915  0.29403797
 0.0472826  0.715623   0.46994227 0.80466264 0.00762379 0.9977942
 0.67535436 0.9207994  0.24273479 0.97597194 0.06609168 0.8549663
 0.43833932 0.14030406 0.7886251  0.4939131  0.06645938 0.8383885
 0.04827847 0.16956297 0.73068833 0.6692187  0.0408259  0.00331689
 0.46047547 0.94494706 0.05129702 0.372322   0.08355391 0.30181262
 0.6833123  0.7905893 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
11,2019-01-18,"[0.15142974 0.9591444  0.57433385 0.921466   0.57305175 0.13595498
 0.13585173 0.4530806  0.02947888 0.16355121 0.5738844  0.4800104
 0.02624872 0.20500197 0.49808228 0.88715535 0.66387534 0.34624106
 0.14237025 0.5184204  0.32039645 0.60428226 0.68897676 0.92780375
 0.93418515 0.97901684 0.11185406 0.7434327  0.34838563 0.92884946
 0.6445082  0.31929007 0.15735064 0.9705782  0.21548423 0.83359057
 0.27558312 0.36082178 0.9487598  0.62135035 0.02161057 0.11579955
 0.2344986  0.84209776 0.13922323 0.4445726  0.06657212 0.29621446
 0.83363277 0.57309866]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
12,2019-01-21,"[0.09222725 0.9073532  0.90588605 0.8990026  0.87079614 0.00516858
 0.32021397 0.17607164 0.02493758 0.60093623 0.5721439  0.97055936
 0.4049573  0.1362693  0.5257244  0.74636525 0.5582433  0.6033201
 0.28789723 0.59778595 0.45320535 0.8414283  0.7450211  0.9615222
 0.62823516 0.9914808  0.5760325  0.97481334 0.33832067 0.791928
 0.76178044 0.28909022 0.9139923  0.9177825  0.07639885 0.94270384
 0.09758185 0.68647903 0.82877    0.8684502  0.05018354 0.48656777
 0.776593   0.97903544 0.11979046 0.12529086 0.02545719 0.22174653
 0.829822   0.52125686]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
13,2019-01-22,"[3.73795927e-02 9.70356226e-01 8.86142612e-01 7.23054290e-01
 8.24714482e-01 4.29532398e-03 2.85298079e-01 3.11203569e-01
 3.63178849e-02 4.16810691e-01 5.12647390e-01 8.79375875e-01
 2.90191144e-01 1.22404866e-01 4.14075762e-01 6.73952758e-01
 8.13045561e-01 4.68746424e-01 5.10319993e-02 8.69886518e-01
 1.55305102e-01 9.02591884e-01 3.30581903e-01 7.73840427e-01
 8.47259760e-01 8.33524525e-01 4.74379212e-02 7.00895429e-01
 2.73082465e-01 8.58336210e-01 2.86504239e-01 8.88485014e-02
 2.67833114e-01 6.76136911e-01 1.19258858e-01 7.86628187e-01
 3.96141797e-01 2.43408576e-01 5.38611412e-01 8.49228501e-01
 8.32245052e-02 8.20518509e-02 4.58585739e-01 7.30309486e-01
 5.17383032e-02 6.61099777e-02 3.86839703e-04 4.92491305e-01
 8.68934691e-01 3.50214928e-01]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
14,2019-01-23,"[0.0861949  0.9190951  0.7188726  0.89184535 0.7449519  0.1723588
 0.3244755  0.21978846 0.03278838 0.7594406  0.18619616 0.73800844
 0.06061738 0.23755431 0.3433593  0.9438259  0.8075733  0.7185696
 0.25619367 0.58879066 0.78153944 0.34358218 0.20988059 0.9513789
 0.7924892  0.917267   0.24740677 0.8789534  0.04946374 0.9657513
 0.27222812 0.04781682 0.8270557  0.8410967  0.3890962  0.96271276
 0.02956133 0.02817317 0.23217916 0.71452653 0.01221204 0.0649991
 0.68917936 0.7251197  0.01250117 0.5962711  0.0202207  0.12190136
 0.9243381  0.32351378]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
15,2019-01-24,"[0.16653602 0.9873014  0.43341067 0.99055547 0.82603174 0.01752568
 0.16574545 0.14383093 0.1959603  0.61452395 0.5610064  0.69768375
 0.08908563 0.43455288 0.38347492 0.9010361  0.58773494 0.34868833
 0.02221522 0.8738296  0.3417873  0.99015224 0.15968153 0.98353934
 0.791112   0.901514   0.1101146  0.8308272  0.45407367 0.93071026
 0.5841891  0.02045863 0.9483137  0.8466171  0.08385915 0.9225985
 0.10345941 0.2906584  0.14048763 0.9360258  0.01899931 0.31168473
 0.05744927 0.7107788  0.0625268  0.55592287 0.19618185 0.1189268
 0.9761771  0.25187662]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
16,2019-01-25,"[0.01181919 0.929287   0.7749069  0.99174213 0.9264784  0.06597905
 0.401663   0.331919   0.26543963 0.6433869  0.542338   0.8544619
 0.0869998  0.14239027 0.44683912 0.5445954  0.9691518  0.5174913
 0.02708661 0.7084074  0.59077543 0.83983856 0.58373564 0.9932421
 0.8644351  0.95876974 0.1865628  0.8999273  0.22538215 0.7328617
 0.5957934  0.1067744  0.60471106 0.66342884 0.03403465 0.9233366
 0.0886142  0.01725801 0.74743587 0.49797794 0.3893871  0.5776173
 0.49334848 0.90422815 0.12078997 0.09987536 0.09087069 0.2565308
 0.83819056 0.01406039]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
17,2019-01-28,"[1.60134315e-01 9.47173595e-01 4.57256049e-01 9.94331300e-01
 8.37216377e-01 3.47776301e-02 4.31116998e-01 7.29528293e-02
 3.14928204e-01 6.93295419e-01 4.38036829e-01 8.16070795e-01
 3.48881900e-01 4.01895419e-02 5.08526683e-01 9.29281414e-01
 9.89303231e-01 4.55814689e-01 3.04046720e-01 8.40884149e-01
 2.39502773e-01 8.32464874e-01 2.22953320e-01 8.76771629e-01
 7.55280793e-01 9.52004790e-01 8.61086994e-02 9.92194831e-01
 3.47982675e-01 8.45902026e-01 6.06592000e-01 1.37500271e-01
 5.61396889e-02 2.72833675e-01 3.67036581e-01 9.94921207e-01
 1.18515268e-01 4.34752001e-04 5.15951037e-01 7.20005333e-01
 1.10942714e-01 1.11883178e-01 3.13813806e-01 9.25782084e-01
 2.60408642e-03 1.31762758e-01 1.76753074e-01 8.98672566e-02
 6.97041690e-01 8.08783248e-02]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
18,2019-01-29,"[0.01843272 0.90380025 0.79937416 0.97997326 0.36936525 0.02163393
 0.6153788  0.18011244 0.01612728 0.5597962  0.58139616 0.9679081
 0.04174227 0.15400086 0.3347371  0.8909446  0.84232354 0.66589624
 0.05474251 0.96256393 0.73133075 0.24567218 0.08767468 0.9492172
 0.5333501  0.85865104 0.12195406 0.9541164  0.06813683 0.9653241
 0.7125405  0.27755857 0.09672046 0.30130368 0.00279876 0.9627205
 0.15068191 0.2948873  0.05823545 0.75794894 0.00770554 0.27222753
 0.19937494 0.5940318  0.08906447 0.57411575 0.10920667 0.36967358
 0.84120363 0.05244609]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
19,2019-01-30,"[0.07914072 0.93186074 0.5289978  0.9529903  0.39520136 0.08329903
 0.14204855 0.01085501 0.07766218 0.46794453 0.3840367  0.827524
 0.05890647 0.8048135  0.380312   0.90528345 0.6930256  0.5228706
 0.18346606 0.930124   0.90263677 0.8725183  0.6310022  0.9420547
 0.6593869  0.9666097  0.02243811 0.95423585 0.34633106 0.8548834
 0.68455684 0.18971072 0.45239392 0.255313   0.05461144 0.8951011
 0.03924821 0.12631215 0.82727885 0.58116096 0.04606403 0.12374316
 0.53271145 0.98741305 0.04029793 0.55438703 0.10663594 0.16392846
 0.8599829  0.11358887]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
