,cash,asset_value,total_assets,reward,date
0,1000000.0,0.0,1000000.0,0.0,2019-01-03
1,864594.9997434136,134457.16646992113,999052.1662133348,-0.001895667573330373,2019-01-04
2,764175.0002015693,239829.42256630326,1004004.4227678726,0.004004422767872606,2019-01-07
3,634218.5381378325,370730.61545634235,1004949.1535941749,0.004949153594174804,2019-01-08
4,533793.0071080815,467730.33929238206,1001523.3464004635,-0.0018855894461502487,2019-01-09
5,408388.0059074876,603686.1735725647,1012074.1794800523,0.012074179480052294,2019-01-10
6,282953.0049968526,726861.5835452636,1009814.5885421162,0.007581954824400938,2019-01-11
7,162935.37716245215,849696.0086236161,1012631.3857860682,0.012631385786068261,2019-01-14
8,47470.37812826033,952224.7726239464,999695.1507522068,-0.01307971996130497,2019-01-15
9,67564.98530519057,954191.4249007211,1021756.4102059116,0.02175641020591157,2019-01-16
10,82507.09561349134,942086.3788582794,1024593.4744717708,0.02459347447177085,2019-01-17
11,97507.09574728957,920846.254037462,1018353.3497847515,0.012263007768629985,2019-01-18
12,102854.30521386367,932894.4136030548,1035748.7188169186,0.035748718816918545,2019-01-21
13,107854.30533814651,940230.0078069991,1048084.3131451457,0.04808431314514561,2019-01-22
14,107854.30533814651,924293.581704538,1032147.8870426845,0.016942596874150007,2019-01-23
15,112854.3054697963,917588.790592144,1030443.0960619403,0.013611227802919679,2019-01-24
16,117425.04440717422,923649.7048789589,1041074.7492861331,0.034386772211103867,2019-01-25
17,132425.04452676652,921281.7502700393,1053706.7947968058,0.053706794796805735,2019-01-28
18,132425.04452676652,920376.7757546089,1052801.8202813754,0.05194297176687479,2019-01-29
19,132425.04452676652,923671.9149072014,1056096.959433968,0.056096959433967974,2019-01-30
20,7050.044901446766,1038793.4872845414,1045843.5321859882,0.03613473873062667,2019-01-31
21,27050.045010312126,1030696.7753652146,1057746.8203755268,0.0577468203755267,2019-02-01
22,32050.04485601525,1044295.0964455376,1076345.141301553,0.07634514130155301,2019-02-11
23,32050.04485601525,1062615.7911649863,1094665.8360210017,0.09466583602100176,2019-02-12
24,37050.044742770624,1062092.905275534,1099142.9500183046,0.09914295001830453,2019-02-13
25,37050.044742770624,1090126.4055306725,1127176.4502734432,0.12717645027344315,2019-02-14
26,37531.81331298241,1097174.2659459068,1134706.0792588892,0.13470607925888922,2019-02-15
27,42531.81341485009,1068618.8132691025,1111150.6266839525,0.09039154818291784,2019-02-18
28,47531.81324774804,1097245.0003197105,1144776.8135674584,0.14477681356745853,2019-02-19
29,47531.81324774804,1095992.047723278,1143523.860971026,0.14242936588553579,2019-02-20
