,cash,asset_value,total_assets,reward,date
94,41411.857429134725,1073263.6154994145,1114675.4729285492,0.006255904488782549,2019-05-28
95,39938.34346049453,1084762.2139029654,1124700.5573634598,0.02429961795427793,2019-05-29
96,33039.935175567065,1094180.7672199481,1127220.7023955153,0.02883551739184742,2019-05-30
97,25318.008763176378,1091013.719606611,1116331.7283697873,0.009236926623947816,2019-05-31
98,30642.197423772654,1081691.8710841364,1112334.068507909,0.0020417125039496886,2019-06-03
99,83742.28258168005,1034526.6584653307,1118268.9410470107,0.012723631468828822,2019-06-04
100,110871.99941041371,997688.1470993566,1108560.1465097703,-0.004750805565864602,2019-06-05
101,121195.31927022537,976805.7545581103,1098001.0738283356,-0.0237556212521719,2019-06-06
102,119722.00164404069,976278.403531968,1096000.4051760086,-0.02735653774682778,2019-06-10
103,128400.87266569312,976381.3752564178,1104782.2479221108,-0.011550480926208362,2019-06-11
104,113215.97632755025,1021624.3905815794,1134840.3669091295,0.04254982015702746,2019-06-12
105,101144.17475057892,1024925.2542875453,1126069.4290381242,0.026763390546822086,2019-06-13
106,96135.16516941556,1032049.5250799018,1128184.6902493173,0.030570557204345317,2019-06-14
107,98672.97885198316,1020219.2916660702,1118892.2705180533,0.013845535074041737,2019-06-17
108,104304.66642690728,1014821.230624631,1119125.8970515383,0.014266029310824546,2019-06-18
109,123970.62836806485,999655.4865767823,1123626.114944847,0.02236577577444432,2019-06-19
110,78174.73484816449,1066497.7340291948,1144672.4688773593,0.06024619287389721,2019-06-20
111,83112.29243195953,1099314.33358448,1182426.6260164394,0.1281982583125273,2019-06-21
112,53368.17687335557,1140631.7380498755,1193999.9149232311,0.14902851767277248,2019-06-24
113,17421.410007838203,1182527.0413326097,1199948.4513404479,0.15973502965760433,2019-06-25
114,22319.22951761174,1168809.222749299,1191128.4522669106,0.1438602969227215,2019-06-26
115,551.4707851192137,1186882.6111704563,1187434.0819555754,0.13721096047413928,2019-06-27
116,48640.071171067924,1156869.286443872,1205509.3576149398,0.16974386300727584,2019-06-28
117,33054.54904703768,1168256.670307702,1201311.2193547396,0.1621878165373033,2019-07-01
118,52564.40560192431,1189507.2698175036,1242071.675419428,0.23555078866280388,2019-07-02
119,50170.34032197663,1182564.3826309815,1232734.7229529582,0.2187456139992121,2019-07-03
120,19334.833907364733,1199649.160670429,1218983.9945777936,0.19399627604059022,2019-07-04
121,16011.121906950775,1191925.5634024385,1207936.6853093894,0.17411270455568106,2019-07-05
122,64123.73434661195,1153755.324159976,1217879.058506588,0.19200754966167843,2019-07-08
123,84963.64097794243,1105281.9282266558,1190245.5692045982,0.14227123409703302,2019-07-09
124,118470.86588087796,1068305.4818348438,1186776.3477157217,0.13602713322186832,2019-07-10
125,118468.4867098289,1071800.7107363371,1190269.197446166,0.14231376154139663,2019-07-11
126,67763.5332486913,1120982.2280519903,1188745.7613006816,0.13957179508010897,2019-07-12
127,49215.17760247277,1144396.5874649887,1193611.7650674614,0.1483299036287058,2019-07-15
128,40582.02946357257,1170808.5051024146,1211390.5345659873,0.18032913761853353,2019-07-16
129,45390.90119337645,1166067.2850756543,1211458.1862690307,0.18045090097654737,2019-07-17
130,31161.55042267679,1176492.672619814,1207654.223042491,0.1736043130062811,2019-07-18
