,date,actions,transactions
0,2019-01-03,"[-1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1. -1. -1.
  1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1. -1.  1.
 -1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1. -1.  1.  1.]","[   0.          101.0221405   992.89093018 1141.31799316    0.
  645.23620605  215.42066956  469.36898804    0.          219.10316467
    0.          136.66281128  190.40438843    0.            0.
    0.            0.            0.          385.83224487  459.3772583
  239.11546326    0.          233.97833252    0.          360.73995972
  578.99853516    0.            0.            0.            0.
  337.24310303    0.         1563.9173584    95.3532486     0.
  126.71027374    0.          195.07704163  256.9135437   953.45245361
  317.30517578    0.            0.            0.           84.46516418
   69.01368713    0.            0.          173.10261536  117.63321686]"
1,2019-01-04,"[-1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1. -1. -1.
  1.  1.  1. -1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.
 -1.  1. -1.  1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.]","[   0.          102.40424347  989.39367676 1134.53295898    0.
  654.9989624   212.73698425  461.87243652    0.          223.17045593
    0.          141.74705505  196.55555725    0.            0.
    0.            0.            0.          388.12643433  466.50494385
  260.52520752    0.          235.86685181    0.          358.46920776
 -551.96166992    0.            0.            0.            0.
 -328.70516968    0.         1555.11315918   94.49687958    0.
  124.94564819    0.          191.37510681 -254.23686218  953.45245361
 -310.79064941    0.            0.            0.           88.64556885
   69.5187912   138.08988953    0.          176.32516479  118.82553101]"
2,2019-01-07,"[-1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1. -1. -1.
  1.  1.  1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1.  1.  1.  1. -1.  1.
 -1.  1. -1.  1. -1.  1. -1. -1.  1.  1.  1. -1.  1.  1.]","[   0.          102.15756989  970.55340576 1121.17675781    0.
  643.63317871  207.48265076  449.40991211    0.          223.44171143
    0.          133.19268799  190.33769226    0.            0.
    0.            0.            0.          384.12783813  457.73294067
  243.18238831    0.          233.56192017    0.          349.27908325
  -27.03686523  313.42263794    0.            0.            0.
  309.69338989    0.         1533.41308594   92.97741699    0.
  119.82476807    0.          184.44126892   -2.67668152  931.82751465
   -6.51452637    0.            0.            0.           88.4592514
   69.44203186  136.24461365    0.          171.15492249  115.83190155]"
3,2019-01-08,"[-1.  1.  1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1. -1. -1. -1. -1. -1.
  1. -1.  1. -1.  1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.
 -1.  1.  1.  1. -1. -1. -1. -1.  1.  1. -1. -1.  1.  1.]","[   0.          102.23966217  973.91845703 1103.85021973    0.
  638.09692383  207.40174866 -451.99783325    0.          224.80397034
    0.          135.13221741  188.35157776    0.            0.
    0.            0.            0.          388.99304199 -448.10494995
  238.31880188    0.          230.99809265    0.          339.99264526
    0.         -313.42263794    0.            0.            0.
  309.14004517    0.         1542.02001953   93.45637512  924.45367432
  128.4617157     0.          188.47370911  253.35697937  930.19793701
    0.            0.            0.            0.           86.93671417
   68.08047485 -136.96153259    0.          163.73043823  111.8358078 ]"
4,2019-01-09,"[-1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1. -1. -1.
  1. -1.  1. -1.  1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.
 -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.]","[   0.          102.11667633  975.62878418 1091.2265625     0.
  641.24761963  209.86888123  458.40438843    0.          227.57891846
    0.          134.10578918  188.08943176    0.            0.
    0.            0.            0.          393.68838501 -449.6807251
  243.65640259    0.          232.735672      0.          338.7052002
    0.            0.            0.            0.            0.
  309.32363892    0.         1559.47851562   94.29372406  943.11151123
  132.31573486    0.          191.44325256  256.39974976  933.46276855
    0.            0.            0.            0.           84.74863434
   67.48731232  138.24452209    0.          167.44416809  114.94226074]"
5,2019-01-10,"[-1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1. -1. -1.
  1. -1.  1. -1.  1.  1.  1. -1.  1. -1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.]","[   0.          100.40422821  973.91845703 1068.78710938    0.
  640.45910645  205.94862366  452.7427063     0.          219.45127869
    0.          130.36245728  176.0433197     0.            0.
    0.            0.            0.          372.87832642 -435.13827515
  236.07064819    0.          230.6943512     0.          329.27230835
    0.          306.6355896     0.            0.          475.55187988
  308.95666504    0.         1550.72424316   92.38967896 -939.67297363
  131.47999573    0.          187.7454834   252.11143494  935.08630371
    0.            0.            0.            0.           82.93964386
   67.54155731  137.07568359    0.          166.9432373   113.24002075]"
6,2019-01-11,"[-1.  1.  1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
  1. -1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.
 -1.  1. -1.  1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.]","[   0.          102.19869995  977.3260498  1078.86499023  307.04797363
  646.03656006  204.7535553  -458.02224731    0.          222.63186646
    0.          128.64813232  177.25341797    0.            0.
  155.10705566    0.            0.          373.94641113  -50.69119263
  243.06416321  543.21258545  227.69810486    0.          299.38146973
  470.70343018  306.80117798    0.            0.         -475.55187988
  312.48828125    0.         1568.38146973   91.50587463  957.17596436
  132.92428589    0.          191.03291321 -252.48316956  940.02630615
    0.            0.            0.            0.           84.04364014
   67.66870117 -136.71549988    0.          169.65139771  115.09281158]"
7,2019-01-14,"[-1.  1.  1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1. -1. -1. -1. -1. -1.
  1. -1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.
 -1.  1. -1.  1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1.]","[   0.          103.6557312   972.23303223 1068.78710938  303.97167969
  634.20385742  200.03359985 -458.40438843    0.          219.71261597
    0.          129.3838501   175.18902588    0.            0.
 -152.19866943    0.            0.          371.0244751     0.
  244.48921204  539.80523682  223.72665405    0.          312.67782593
  473.3324585   305.97320557    0.            0.            0.
  311.54977417    0.         1559.47851562   90.60778046  937.96313477
  131.77973938    0.          191.71852112 -250.6315918   938.38562012
    0.            0.            0.            0.           83.240242
   67.66870117 -136.64001465    0.          168.00454712  114.88600922]"
8,2019-01-15,"[-1.  1.  1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1. -1. -1. -1. -1. -1.
  1. -1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
 -1.  1. -1.  1. -1. -1. -1. -1.  1.  1. -1. -1.  1.  1.]","[   0.            0.            0.            0.            0.
    0.            0.         -466.97549438    0.            0.
    0.            0.            0.            0.            0.
   -2.90838623    0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
 -314.95071411    0.            0.            0.            0.
    0.            0.            0.         -254.11152649    0.
    0.            0.            0.            0.            0.
    0.         -138.22502136    0.            0.            0.        ]"
9,2019-01-16,"[-1.  1.  1.  1.  1.  1.  1. -1. -1.  1. -1. -1.  1. -1. -1. -1. -1. -1.
  1. -1.  1. -1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1. -1.  1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.]","[   0.            0.            0.            0.            0.
    0.            0.         -456.39846802    0.            0.
    0.         -128.26071167    0.            0.            0.
    0.            0.            0.            0.            0.
    0.         -523.3793335     0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.           -4.64187622    0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]"
